891-WP,K,,,,,
Pin,Name,Type,Side,Unit,Style,Hidden
1,C1,passive,left,1,,
2,2,in,left,1,,
3,T1,passive,right,1,,
4,4,in,left,1,,
,,,,,,
AD56x1,U,,,,,
Pin,Name,Type,Side,Unit,Style,Hidden
1,SYNC,in,left,1,,
2,SCLK,in,left,1,,
3,SDIN,in,left,1,,
4,VDD,pwr,right,1,,
5,GND,pwr,right,1,,
6,VOUT,out,right,1,,
,,,,,,
ADM3485,U,,,,,
Pin,Name,Type,Side,Unit,Style,Hidden
1,RO,out,left,1,,
2,RE,in,left,1,inv,
3,DE,in,left,1,,
4,DI,in,left,1,,
5,GND,pwr,right,1,,
6,A,bidir,right,1,,
7,B,bidir,right,1,,
8,VCC,pwr,right,1,,
,,,,,,
APX80X-XXSAG,U,,,,,
Pin,Name,Type,Side,Unit,Style,Hidden
1,GND,pwr,bottom,1,,
2,RESET,out,right,1,,
3,VCC,pwr,top,1,,
,,,,,,
AT-XMEGA-XXA3-AU,U,,,,,
Pin,Name,Type,Side,Unit,Style,Hidden
1,AC3/ADC3/PA3,bidir,right,1,,
2,AC4/ADC4/PA4,bidir,right,1,,
3,AC5/ADC5/PA5,bidir,right,1,,
4,AC6/ADC6/PA6,bidir,right,1,,
5,AC7/ADC7/PA7,bidir,right,1,,
6,AREF/AC0/ADC0/ADC8/PB0,bidir,right,1,,
7,AC1/ADC1/ADC9/PB1,bidir,right,1,,
8,DAC0/AC2/ADC2/ADC10/PB2,bidir,right,1,,
9,DAC1/AC3/ADC3/ADC11/PB3,bidir,right,1,,
10,TMS/AC4/ADC4/ADC12/PB4,bidir,right,1,,
11,TDI/AC5/ADC5/ADC13/PB5,bidir,right,1,,
12,TCK/AC6/ADC6/ADC14/PB6,bidir,right,1,,
13,TDO/AC7/ADC7/ADC15/PB7,bidir,right,1,,
14,GND,pwr,left,1,,
15,VCC,pwr,left,1,,
16,SDA/OC0A/OC0ALS/PC0,bidir,right,1,,
17,SCL/XCK0/OC0B/OC0AHS/PC1,bidir,right,1,,
18,RXD0/OC0C/OC0BLS/PC2,bidir,right,1,,
19,TXD0/OC0D/OC0BHS/PC3,bidir,right,1,,
20,_SS/OC1A/OC0CLS/PC4,bidir,right,1,,
21,XCK1/MOSI/OC1B/OC0CHS/PC5,bidir,right,1,,
22,RXD1/MISO/OC0DLS/PC6,bidir,right,1,,
23,TXD1/SCK/OC0DHS/PC7,bidir,right,1,,
24,GND,pwr,left,1,,
25,VCC,pwr,left,1,,
26,OC0A/PD0,bidir,right,1,,
27,XCK0/OCB0/PD1,bidir,right,1,,
28,RXD0/OC0C/PD2,bidir,right,1,,
29,TXD0/OCD0/PD3,bidir,right,1,,
30,_SS/OC1A/PD4,bidir,right,1,,
31,XCk1/MOSI/OC1B/PD5,bidir,right,1,,
32,RXD1/MISO/PD6,bidir,right,1,,
33,TXD1/SCK/PD7,bidir,right,1,,
34,GND,pwr,left,1,,
35,VCC,pwr,left,1,,
36,SDA/OC0A/PE0,bidir,right,1,,
37,SCL/XCK0/OC0B/PE1,bidir,right,1,,
38,RXD0/OC0C/PE2,bidir,right,1,,
39,TXD0/OC0D/PE3,bidir,right,1,,
40,_SS/OC1A/PE4,bidir,right,1,,
41,XCK1/MOSI/OC1B/PE5,bidir,right,1,,
42,TOSC2/MISO/RXD1/PE6,bidir,right,1,,
43,TOSC1/SCK/TXD1/PE7,bidir,right,1,,
44,GND,pwr,left,1,,
45,VCC,pwr,left,1,,
46,PF0/OC0A,bidir,left,1,,
47,PF1/OC0B/XCK0,bidir,left,1,,
48,PF2/OC0C/RXD0,bidir,left,1,,
49,PF3/OC0D/TXD0,bidir,left,1,,
50,PF4,bidir,left,1,,
51,PF5,bidir,left,1,,
52,GND,pwr,left,1,,
53,VCC,pwr,left,1,,
54,PF6,bidir,left,1,,
55,PF7,bidir,left,1,,
56,PDI_DATA,bidir,left,1,,
57,PDI_CLK/RESET,bidir,left,1,,
58,PR0/XTAL2,bidir,left,1,,
59,PR1/XTAL1,bidir,left,1,,
60,GND,pwr,left,1,,
61,AVCC,pwr,left,1,,
62,AREF/AC0/ADC0/PA0,bidir,right,1,,
63,AC1/ADC1/PA1,bidir,right,1,,
